frame,kart,g28,g2A,g2C,g2E,g30,gE00,gE02,g124,g126,f16,f1A,f22,f24,fAE,f10,f12,f18,f1C,f1F,f26,f28,f2A,f60,fA0,fA2,fA4,fA6,fA8,fAA,fAC,fAE,fB0,fB2,fB4,fC2,fC4,fCA,fD6,fDE,fE0,fE2,fE4,fEA,fFA,fFC,fE8,fEE,fB8
41,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
42,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
42,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
43,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
43,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
44,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
44,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
45,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
45,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
46,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
46,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
